0,1,2,3,4,5,6,7,8,9,10
specialty bar,condensed milk,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
tropical fruit,waffles,,,,,,,,,
canned beer,frozen meals,pastry,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
whole milk,sliced cheese,,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
pickled vegetables,onions,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
pip fruit,sweet spreads,,,,,,,,,
roll products ,dishes,,,,,,,,,
tropical fruit,bottled water,pastry,flour,,,,,,,
yogurt,photo/film,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
whole milk,other vegetables,newspapers,,,,,,,,
coffee,misc. beverages,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
butter,beef,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
beverages,soda,,,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
pork,yogurt,,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
candy,frozen meals,,,,,,,,,
citrus fruit,canned fish,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
napkins,cake bar,,,,,,,,,
soda,meat,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
whole milk,detergent,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
pastry,bottled water,,,,,,,,,
bottled beer,pastry,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
whole milk,hamburger meat,soft cheese,long life bakery product,margarine,bottled beer,,,,,
chocolate,whipped/sour cream,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
beef,other vegetables,,,,,,,,,
sausage,cake bar,,,,,,,,,
cream,yogurt,,,,,,,,,
soda,rolls/buns,,,,,,,,,
fruit/vegetable juice,chocolate,cat food,coffee,,,,,,,
citrus fruit,chocolate,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
pastry,other vegetables,,,,,,,,,
white wine,soda,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
herbs,pip fruit,,,,,,,,,
pip fruit,beverages,,,,,,,,,
dessert,soda,,,,,,,,,
margarine,herbs,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
pastry,napkins,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
herbs,soda,,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
butter,soft cheese,,,,,,,,,
berries,cat food,pip fruit,specialty bar,,,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
herbs,soups,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,salty snack,,,,,,,,,
frozen dessert,pastry,,,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
soda,whole milk,oil,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
whole milk,grapes,,,,,,,,,
domestic eggs,candy,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sliced cheese,onions,,,,,,,,,
onions,other vegetables,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
ice cream,margarine,,,,,,,,,
root vegetables,margarine,bottled water,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
cream cheese ,yogurt,bottled beer,bottled beer,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frozen fish,beef,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
newspapers,yogurt,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
beef,grapes,,,,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
misc. beverages,whole milk,long life bakery product,,,,,,,,
candles,chewing gum,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
pet care,pork,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
onions,pip fruit,,,,,,,,,
white bread,cleaner,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
dental care,curd,,,,,,,,,
shopping bags,UHT-milk,,,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
beef,liquor,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
butter milk,bottled water,shopping bags,,,,,,,,
tropical fruit,chicken,waffles,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
root vegetables,white bread,canned fish,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
ice cream,fruit/vegetable juice,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
other vegetables,margarine,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
misc. beverages,fruit/vegetable juice,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
ice cream,whole milk,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
whole milk,sugar,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
citrus fruit,roll products ,frozen vegetables,,,,,,,,
soda,soda,cereals,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
dessert,frozen vegetables,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
bottled water,frozen chicken,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
onions,candy,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
sausage,curd,,,,,,,,,
ham,newspapers,,,,,,,,,
cat food,curd,bottled water,frozen vegetables,tea,,,,,,
pork,rolls/buns,,,,,,,,,
ham,UHT-milk,margarine,,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
whole milk,cat food,processed cheese,rolls/buns,,,,,,,
finished products,dessert,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
kitchen towels,sliced cheese,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
coffee,frozen fish,,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
Instant food products,specialty chocolate,,,,,,,,,
pork,curd,curd cheese,misc. beverages,,,,,,,
bottled water,bottled beer,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
soda,frozen meals,,,,,,,,,
beef,other vegetables,whole milk,soda,,,,,,,
whole milk,domestic eggs,,,,,,,,,
root vegetables,white wine,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
meat,bottled water,soda,,,,,,,,
pastry,syrup,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
finished products,whipped/sour cream,,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
whole milk,butter,,,,,,,,,
butter,bottled beer,,,,,,,,,
frozen meals,onions,,,,,,,,,
sausage,whole milk,pastry,whole milk,,,,,,,
canned beer,dishes,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
dog food,white bread,,,,,,,,,
napkins,newspapers,,,,,,,,,
soda,whole milk,newspapers,coffee,,,,,,,
fish,canned beer,chocolate,,,,,,,,
pot plants,chicken,,,,,,,,,
soda,rolls/buns,,,,,,,,,
coffee,roll products ,,,,,,,,,
brown bread,rolls/buns,soda,whole milk,,,,,,,
grapes,butter,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
sausage,chicken,,,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
ice cream,yogurt,,,,,,,,,
beef,domestic eggs,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
whole milk,tropical fruit,rolls/buns,soap,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
rolls/buns,canned beer,,,,,,,,,
sliced cheese,margarine,,,,,,,,,
other vegetables,butter,,,,,,,,,
berries,curd,specialty cheese,,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
sausage,cocoa drinks,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
sweet spreads,bottled beer,,,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
ice cream,coffee,,,,,,,,,
dishes,brown bread,,,,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
citrus fruit,beef,,,,,,,,,
sausage,softener,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,,,,,,,
pork,sweet spreads,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
citrus fruit,baking powder,,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
rolls/buns,dessert,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
yogurt,chewing gum,soda,oil,,,,,,,
pastry,candy,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
pork,candy,yogurt,,,,,,,,
citrus fruit,white bread,processed cheese,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
cleaner,shopping bags,,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
soda,shopping bags,,,,,,,,,
chicken,brown bread,,,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
margarine,rolls/buns,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
coffee,specialty vegetables,,,,,,,,,
berries,rolls/buns,,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
organic products,root vegetables,,,,,,,,,
berries,dessert,dessert,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
beverages,soda,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
ham,yogurt,bottled water,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
soda,instant coffee,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
curd,brown bread,,,,,,,,,
beef,candles,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
sausage,beverages,,,,,,,,,
yogurt,white wine,,,,,,,,,
coffee,pastry,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
curd,coffee,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
sweet spreads,berries,whole milk,yogurt,pip fruit,root vegetables,root vegetables,specialty chocolate,softener,,
whole milk,whole milk,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
yogurt,pot plants,,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
frankfurter,herbs,,,,,,,,,
berries,shopping bags,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
chicken,fruit/vegetable juice,cake bar,,,,,,,,
dessert,yogurt,shopping bags,,,,,,,,
other vegetables,soda,,,,,,,,,
other vegetables,liquor,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
meat,other vegetables,,,,,,,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
soda,tropical fruit,,,,,,,,,
soda,brandy,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,,,
ham,rum,,,,,,,,,
grapes,other vegetables,,,,,,,,,
organic sausage,herbs,,,,,,,,,
frozen dessert,citrus fruit,,,,,,,,,
whole milk,brown bread,,,,,,,,,
beverages,whole milk,pasta,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
whole milk,bottled beer,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
butter milk,soups,canned fruit,,,,,,,,
margarine,napkins,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pet care,photo/film,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
pot plants,pip fruit,,,,,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
specialty bar,soda,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
photo/film,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,pastry,other vegetables,rolls/buns,,,,,,,
other vegetables,dog food,,,,,,,,,
meat,rolls/buns,,,,,,,,,
butter,bottled beer,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
yogurt,newspapers,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
soda,hard cheese,,,,,,,,,
ice cream,yogurt,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
newspapers,flour,,,,,,,,,
ham,rolls/buns,whole milk,rum,berries,cleaner,,,,,
chicken,margarine,,,,,,,,,
soda,whole milk,soda,specialty bar,bottled water,,,,,,
pasta,margarine,,,,,,,,,
yogurt,yogurt,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
pork,brown bread,,,,,,,,,
domestic eggs,curd,,,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
meat,whole milk,,,,,,,,,
dishes,sweet spreads,,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
sausage,frozen potato products,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
whole milk,whole milk,,,,,,,,,
beverages,bottled water,,,,,,,,,
mustard,brown bread,,,,,,,,,
beef,yogurt,,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
whole milk,canned fish,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
sausage,pastry,,,,,,,,,
meat,bottled water,,,,,,,,,
hygiene articles,coffee,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
newspapers,salty snack,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
root vegetables,yogurt,,,,,,,,,
pork,rolls/buns,,,,,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
instant coffee,processed cheese,,,,,,,,,
soda,beef,,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
tropical fruit,popcorn,,,,,,,,,
waffles,whole milk,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
white wine,processed cheese,,,,,,,,,
chocolate,white wine,,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
soda,soda,roll products ,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
frozen vegetables,pot plants,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
hygiene articles,napkins,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
soda,detergent,,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,sausage,whole milk,canned fruit,cake bar,,,,,,
margarine,soda,UHT-milk,,,,,,,,
misc. beverages,berries,,,,,,,,,
cling film/bags,coffee,,,,,,,,,
ham,hard cheese,,,,,,,,,
cleaner,pip fruit,pastry,,,,,,,,
other vegetables,margarine,,,,,,,,,
root vegetables,napkins,,,,,,,,,
pastry,whole milk,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
bottled beer,soda,,,,,,,,,
rice,jam,,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
sausage,curd,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
salty snack,chewing gum,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
coffee,bottled water,,,,,,,,,
finished products,root vegetables,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
chicken,onions,white bread,,,,,,,,
beverages,sugar,,,,,,,,,
pip fruit,butter,soda,,,,,,,,
specialty bar,pickled vegetables,,,,,,,,,
beef,bottled beer,specialty chocolate,yogurt,whole milk,,,,,,
newspapers,rolls/buns,newspapers,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
frankfurter,white wine,,,,,,,,,
curd,curd,rolls/buns,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
citrus fruit,onions,,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
long life bakery product,onions,,,,,,,,,
pork,oil,,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,white bread,,,,,,,,,
frankfurter,bottled water,onions,,,,,,,,
dessert,domestic eggs,,,,,,,,,
pork,pip fruit,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
pork,cake bar,,,,,,,,,
sausage,soda,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
hamburger meat,whipped/sour cream,sugar,newspapers,,,,,,,
ice cream,candy,canned beer,,,,,,,,
dishes,onions,canned beer,,,,,,,,
white wine,soft cheese,,,,,,,,,
candy,candy,,,,,,,,,
soda,soda,canned beer,,,,,,,,
sausage,pastry,soda,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
shopping bags,newspapers,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
citrus fruit,bottled beer,cat food,,,,,,,,
sausage,beverages,,,,,,,,,
jam,cake bar,,,,,,,,,
canned beer,white bread,,,,,,,,,
coffee,soda,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
soda,herbs,canned beer,soda,seasonal products,dishes,yogurt,mayonnaise,flower (seeds),,
tropical fruit,waffles,,,,,,,,,
sausage,whole milk,,,,,,,,,
chicken,condensed milk,,,,,,,,,
ice cream,cream cheese ,,,,,,,,,
Instant food products,newspapers,,,,,,,,,
soda,newspapers,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
pastry,grapes,,,,,,,,,
salty snack,semi-finished bread,sliced cheese,,,,,,,,
coffee,oil,newspapers,,,,,,,,
other vegetables,berries,,,,,,,,,
other vegetables,pork,,,,,,,,,
beef,hair spray,,,,,,,,,
brown bread,pasta,,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
whole milk,chewing gum,yogurt,,,,,,,,
curd,salty snack,,,,,,,,,
dishes,salty snack,,,,,,,,,
whole milk,onions,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
white bread,mayonnaise,,,,,,,,,
soda,newspapers,,,,,,,,,
dessert,bottled beer,,,,,,,,,
beef,white wine,,,,,,,,,
pork,sweet spreads,,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
bottled beer,yogurt,,,,,,,,,
hamburger meat,dish cleaner,,,,,,,,,
pickled vegetables,meat,,,,,,,,,
citrus fruit,rolls/buns,brandy,candy,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
canned beer,beverages,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
citrus fruit,berries,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
other vegetables,detergent,mayonnaise,dishes,,,,,,,
beef,ice cream,rolls/buns,pip fruit,whole milk,fruit/vegetable juice,UHT-milk,,,,
zwieback,brown bread,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
turkey,cream cheese ,,,,,,,,,
butter,citrus fruit,,,,,,,,,
tropical fruit,candy,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
dessert,newspapers,,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
bottled water,other vegetables,vinegar,,,,,,,,
pip fruit,soda,grapes,,,,,,,,
soda,shopping bags,,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
nuts/prunes,white wine,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
hamburger meat,pork,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
ham,yogurt,,,,,,,,,
pip fruit,soda,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
chicken,soda,,,,,,,,,
pork,beverages,misc. beverages,chewing gum,,,,,,,
margarine,whole milk,white bread,,,,,,,,
tropical fruit,salt,,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
vinegar,whole milk,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
other vegetables,prosecco,pot plants,,,,,,,,
whole milk,cat food,,,,,,,,,
meat,waffles,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pastry,bottled beer,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,root vegetables,yogurt,soft cheese,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
whole milk,frozen potato products,,,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
rolls/buns,bottled water,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
whole milk,rolls/buns,instant coffee,,,,,,,,
whole milk,other vegetables,white bread,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
root vegetables,pet care,,,,,,,,,
napkins,waffles,,,,,,,,,
butter milk,hygiene articles,,,,,,,,,
chicken,pastry,waffles,,,,,,,,
white bread,baking powder,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
root vegetables,chewing gum,,,,,,,,,
grapes,berries,brown bread,,,,,,,,
other vegetables,ice cream,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
napkins,popcorn,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
spread cheese,salty snack,soda,domestic eggs,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
meat,domestic eggs,,,,,,,,,
butter,margarine,,,,,,,,,
seasonal products,flour,domestic eggs,,,,,,,,
butter milk,UHT-milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
yogurt,dessert,,,,,,,,,
domestic eggs,bottled water,kitchen towels,,,,,,,,
newspapers,brown bread,,,,,,,,,
sausage,margarine,,,,,,,,,
pip fruit,soda,popcorn,,,,,,,,
liqueur,chocolate,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
butter milk,white wine,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
beef,canned beer,,,,,,,,,
napkins,margarine,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
flower soil/fertilizer,yogurt,specialty chocolate,,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
sausage,frozen vegetables,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
beef,pastry,candy,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
other vegetables,domestic eggs,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
sausage,canned beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,chewing gum,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
bottled water,yogurt,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
chicken,shopping bags,,,,,,,,,
